,file_path,sentence,section,labels, entities,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
1,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\14_abstract.xml,"Traditional statistical approaches have advanced our understanding of the genetics of complex diseases, yet are limited to linear additive models.",ABS,linear,ORG,123,129,,,,
2,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\14_abstract.xml,"Here we applied machine learning (ML) to genome-wide data from 41,686 individuals in the largest European consortium on Alzheimer’s disease (AD) to investigate the effectiveness of various ML algorithms in replicating known findings, discovering novel loci, and predicting individuals at risk.",ABS,"ML, ML","ORG, ORG","34, 189","36, 191",,,,
3,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\14_abstract.xml,"We utilised Gradient Boosting Machines (GBMs), biological pathway-informed Neural Networks (NNs), and Model-based Multifactor Dimensionality Reduction (MB-MDR) models.",ABS,"Gradient Boosting Machines, Neural Networks, Multifactor Dimensionality Reduction","ORG, ORG, ORG","12, 75, 114","38, 90, 150",,,,
4,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\14_abstract.xml,ML approaches successfully captured all genome-wide significant genetic variants identified in the training set and 22% of associations from larger meta-analyses.,ABS,ML,ORG,0,2,,,,
5,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\14_abstract.xml,"They highlight 6 novel loci which replicate in an external dataset, including variants which map to  ARHGAP25 ,  LY6H ,  COG7 ,  SOD1  and  ZNF597 .",ABS,"LY6H, COG7, ZNF597","ORG, PERSON, ORG","113, 121, 140","117, 125, 146",,,,
6,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\14_abstract.xml,"They further identify novel association in  AP4E1 , refining the genetic landscape of the known  SPPL2A  locus.",ABS,SPPL2A,ORG,97,103,,,,
12,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\1_front\1_article-meta\14_abstract.xml,"Digital image analysis could streamline this process, yet few comprehensive comparisons exist between different tools.",ABS,Digital,ORG,0,7,,,,
13,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\1_front\1_article-meta\14_abstract.xml,"We compared a non-machine learning (non-ML) tool (ImageScope, Leica Biosystems) with a machine learning (ML) tool (Aiforia Create, Aiforia Technologies) on Ki67-stained slides from 10 low proliferative neuroendocrine tumor cases (Ki67 score < 5%, eight regions per slide).",ABS,"non-ML, ImageScope, Leica Biosystems, ML","ORG, ORG, PERSON, ORG","36, 50, 62, 105","42, 60, 78, 107",,,,
16,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\1_front\1_article-meta\14_abstract.xml,The ML compared to the non-ML tool showed better performance metrics (F-score 0.90 vs. 0.74) in detecting the tumor cells.,ABS,ML,ORG,4,6,,,,
17,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\1_front\1_article-meta\14_abstract.xml,"Also, the ML tool had a higher agreement with the reference standard in detecting tumor cells (ICC 0.91 vs. 0.62), Ki67 positive tumor cells (ICC 0.70 vs. 0.24), and the Ki67 score (ICC 0.86 vs. 0.45).",ABS,ML,ORG,10,12,,,,
18,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12307702\sections\1_front\1_article-meta\14_abstract.xml,"Our findings highlight the enhanced accuracy of ML-based image analysis in detecting the correct tumor cells, outperforming traditional methods.",ABS,ML,ORG,48,50,,,,
20,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\23_abstract.xml,ABSTRACT Background and Aims The application of machine learning (ML) has started to change some important aspects of health care in diabetes.,ABS,ML,ORG,66,68,,,,
21,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\23_abstract.xml,We aimed to utilize a bibliometric approach to analyze and map ML in the context of diabetes.,ABS,ML,ORG,63,65,,,,
23,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\23_abstract.xml,"For citation analysis, the online services of WoS were used to investigate the information content of the data set, VOSviewer and Microsoft Excel 2013 were employed to construct and visualize the bibliographic data.",ABS,"WoS, VOSviewer, Microsoft Excel 2013","ORG, ORG, ORG","46, 116, 130","49, 125, 150",,,,
24,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\23_abstract.xml,"Results Overall, 5,222 results that met the criteria were retrieved.",ABS,Results Overall,PERSON,0,15,,,,
28,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\23_abstract.xml,"The most prolific author on ML in the context of diabetes was Tien Yin Wong, with twenty‐two articles affiliated at Tsinghua University; after that, Pantelis Georgiou with twenty articles affiliated at the Imperial College London, and Pau Herrero, with nineteen articles affiliated at Tijuana Institute of Technology.",ABS,"ML, Tien Yin Wong, Tsinghua University, Pantelis Georgiou, the Imperial College London, Pau Herrero, Tijuana Institute of Technology","ORG, PERSON, ORG, ORG, ORG, PERSON, ORG","28, 62, 116, 149, 202, 235, 285","30, 75, 135, 166, 229, 246, 316",,,,
30,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\23_abstract.xml,Conclusion The results of this study are a rich scientific source of ML for diabetes to guide researchers.,ABS,ML,ORG,69,71,,,,
33,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\10_aff.xml,"    5     Medical Informatics Research Center, Institute for Futures Studies in Health   Kerman University of Medical Sciences   Kerman   Iran",AFF,Institute for Futures Studies in Health   Kerman University of Medical Sciences   Kerman,ORG,47,135,,,,
34,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\11_aff.xml,"    6     Department of Health Information Technology, School of Allied Medical Sciences   Zabol University of Medical Sciences   Zabol   Iran",AFF,"Department of Health Information Technology, School of Allied Medical Sciences   Zabol University of Medical Sciences   Zabol","ORG, ORG","10, 55","53, 135",,,,
35,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\12_aff.xml,    7     Assistant Professor of Medical Informatics.,AFF,Medical Informatics,ORG,33,52,,,,
36,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\12_aff.xml,"Non‐Communicable Diseases Research Center, Sabzevar University of Medical Sciences, Sabzevar, Iran.",AFF,"Non‐Communicable Diseases Research Center, Sabzevar University of Medical Sciences","ORG, ORG","0, 43","41, 82",,,,
37,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\12_aff.xml,Sabzevar University of Medical Sciences   Sabzevar   Iran,AFF,Sabzevar University of Medical Sciences   Sabzevar,ORG,0,50,,,,
38,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\6_aff.xml,"    1     Medical Biotechnology Research Center, School of Paramedical   Guilan University of Medical Sciences   Rasht   Iran",AFF,"Medical Biotechnology Research Center, School of Paramedical   Guilan University of Medical Sciences   Rasht","ORG, ORG","10, 49","47, 118",,,,
39,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\7_aff.xml,"    2     Department of Medical Library and Information Sciences, School of Health Management and Information Sciences   Iran University of Medical Sciences   Tehran   Iran",AFF,"Information Sciences, School of Health Management and Information Sciences, Iran University of Medical Sciences","ORG, ORG, ORG","44, 66, 121","64, 118, 156",,,,
40,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\8_aff.xml,"    3     Medical Library and Information Science, Central Library and Medical Information, Management of medical information   Hamadan University of Medical Sciences   Hamadan   Iran",AFF,"Medical Information, Management of medical, Hamadan University of Medical Sciences   Hamadan","ORG, ORG","71, 128","113, 176",,,,
41,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12344509\sections\1_front\1_article-meta\9_aff.xml,"    4     Department of Computer, Roudsar and Amlash Branch   Islamic Azad University   Roudsar   Iran",AFF,"Department of Computer, Roudsar, Amlash Branch   , Roudsar","ORG, PERSON, ORG, PERSON","10, 34, 46, 88","32, 41, 62, 95",,,,
42,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12389585\sections\1_front\1_article-meta\6_aff.xml,"1 CEFT—Transport Phenomena Research Center, Faculty of Engineering, University of Porto, Rua Dr. Roberto Frias, 4200-465 Porto, Portugal;  cbpf@fe.up.pt",AFF,"Transport Phenomena Research Center, Faculty of Engineering, University of Porto, Roberto Frias","ORG, ORG, ORG, PERSON","7, 44, 68, 97","42, 66, 87, 110",,,,
43,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12389585\sections\1_front\1_article-meta\7_aff.xml,"2 ALiCE—Associate Laboratory in Chemical Engineering, Faculty of Engineering, University of Porto, Rua Dr. Roberto Frias, 4200-465 Porto, Portugal",AFF,"Chemical Engineering, Faculty of Engineering, University of Porto, Roberto Frias","ORG, ORG, ORG, PERSON","32, 54, 78, 107","52, 76, 97, 120",,,,
44,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12389585\sections\1_front\1_article-meta\8_aff.xml,"3 Centre of Mathematics (CMAT), University of Minho, Campus of Gualtar, 4710-057 Braga, Portugal",AFF,University of Minho,ORG,32,51,,,,
45,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,http://orcid.org/0000-0002-0531-6309 Bracher-Smith Matthew 1 2 Melograna Federico 3 7 Ulm Brittany 4 5 http://orcid.org/0000-0002-1240-7874 Bellenguez Céline 6 Grenier-Boley Benjamin 6 Duroux Diane 7 Nevado Alejo J.,AUT,"http://orcid.org/0000-0002-0531-6309 Bracher-Smith, Bellenguez, Diane 7","PERSON, ORG, PERSON","0, 140, 192","50, 150, 199",,,,
46,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,5 http://orcid.org/0000-0003-0870-9412 Holmans Peter 2 http://orcid.org/0000-0002-2612-1797 Tijms Betty M. 8 9 http://orcid.org/0000-0002-9889-3606 Hulsman Marc 8 9 http://orcid.org/0000-0002-2148-381X de Rojas Itziar 10 11 http://orcid.org/0000-0002-1395-8571 Campos-Martin Rafael 12 13 http://orcid.org/0000-0003-1606-8643 der Lee Sven van 8 9 Castillo Atahualpa 2 http://orcid.org/0000-0002-3835-9639 Küçükali Fahri 14 15 http://orcid.org/0000-0003-0568-2998 Peters Oliver 16 17 http://orcid.org/0000-0001-9540-8700 Schneider Anja 18 19 http://orcid.org/0000-0002-0654-387X Dichgans Martin 20 21 22 http://orcid.org/0000-0002-1432-313X Rujescu Dan 23 http://orcid.org/0000-0003-1759-6990 Scherbaum Norbert 24 Deckert Jürgen 25 http://orcid.org/0000-0003-4321-6090 Riedel-Heller Steffi 26 http://orcid.org/0000-0001-9009-2356 Hausner Lucrezia 27 http://orcid.org/0000-0003-4068-8578 Molina-Porcel Laura 28 29 Düzel Emrah 30 31 Grimmer Timo 32 http://orcid.org/0000-0003-1492-5330 Wiltfang Jens 33 34 35 http://orcid.org/0000-0003-1057-465X Heilmann-Heimbach Stefanie 36 http://orcid.org/0000-0002-0072-5410 Moebus Susanne 37 Tegos Thomas 38 Scarmeas Nikolaos 39 40 http://orcid.org/0000-0003-2656-8748 Dols-Icardo Oriol 41 42 http://orcid.org/0000-0001-5200-3164 Moreno Fermin 42 43 44 http://orcid.org/0000-0002-9111-1712 Pérez-Tur Jordi 42 45 http://orcid.org/0000-0002-6477-1117 Bullido María J.,AUT,"Peter 2, Tijms Betty M. 8, Hulsman Marc, http://orcid.org/0000-0002-2148-381X de Rojas Itziar, Campos-Martin Rafael, Lee Sven van, Küçükali Fahri, Peters Oliver, Schneider Anja, Dichgans Martin, Rujescu Dan, Scherbaum, Deckert Jürgen 25, Riedel-Heller Steffi, Hausner Lucrezia, Molina-Porcel, Grimmer Timo 32, Wiltfang Jens 33, Heilmann-Heimbach, Stefanie, Moebus, Dols-Icardo Oriol, Pérez-Tur Jordi","PERSON, PERSON, PERSON, ORG, ORG, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, ORG, PERSON, ORG, PERSON, ORG, PERSON, PERSON, ORG, PERSON, ORG, ORG, PERSON","47, 92, 148, 165, 261, 329, 404, 462, 519, 577, 639, 691, 712, 767, 828, 885, 929, 982, 1042, 1060, 1109, 1204, 1325","54, 108, 160, 217, 281, 341, 418, 475, 533, 592, 650, 700, 729, 787, 844, 898, 944, 998, 1059, 1068, 1115, 1221, 1340",,,,
47,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,42 46 47 48 http://orcid.org/0000-0002-7493-8777 Pastor Pau 49 50 Sánchez-Valle Raquel 51 http://orcid.org/0000-0002-1916-2523 Álvarez Victoria 52 53 http://orcid.org/0000-0003-2617-3009 Boada Mercè 42 54 http://orcid.org/0000-0003-0125-5403 García-González Pablo 55 http://orcid.org/0000-0002-1191-5893 Puerta Raquel 55 http://orcid.org/0000-0003-1656-302X Mir Pablo 42 56 http://orcid.org/0000-0003-4932-7429 Real Luis M. 57 58 Piñol-Ripoll Gerard 59 60 http://orcid.org/0000-0003-2951-6644 García-Alberca Jose María 42 58 61 http://orcid.org/0000-0001-7742-677X Rodriguez-Rodriguez Eloy 42 62 http://orcid.org/0000-0002-2785-9937 Soininen Hilkka 63 http://orcid.org/0000-0002-6083-2402 Heikkinen Sami 64 de Mendonça Alexandre 65 Mehrabian Shima 66 Traykov Latchezar 67 http://orcid.org/0000-0002-1080-3726 Hort Jakub 68 Vyhnalek Martin 69 70 Sandau Nicolai 71 http://orcid.org/0000-0003-3484-9531 Thomassen Jesper Qvist 71 Pijnenburg Yolande A. L. 8 http://orcid.org/0000-0002-7688-3087 Holstege Henne 8 72 van Swieten John 73 Ramakers Inez 74 Verhey Frans 74 http://orcid.org/0000-0002-1046-6408 Scheltens Philip 8 Graff Caroline 75 Papenberg Goran 76 http://orcid.org/0000-0003-3423-2021 Giedraitis Vilmantas 77 http://orcid.org/0000-0002-4069-0259 Williams Julie 1 2 http://orcid.org/0000-0001-9088-234X Amouyel Philippe 6 http://orcid.org/0000-0001-8789-5676 Boland Anne 78 Deleuze Jean-François 78 http://orcid.org/0000-0001-9391-7800 Nicolas Gael 79 http://orcid.org/0000-0003-2442-4476 Dufouil Carole 80 81 http://orcid.org/0000-0001-9880-9788 Pasquier Florence 82 Hanon Olivier 83 http://orcid.org/0000-0001-8675-7968 Debette Stéphanie 84 85 http://orcid.org/0000-0001-8505-7265 Grünblatt Edna 86 87 88 Popp Julius 89 90 91 http://orcid.org/0000-0002-7691-1957 Ghidoni Roberta 92 http://orcid.org/0000-0002-9284-5953 Galimberti Daniela 93 94 http://orcid.org/0000-0002-0615-3580 Arosio Beatrice 95 96 http://orcid.org/0000-0003-0729-5246 Mecocci Patrizia 97 98 http://orcid.org/0000-0002-8524-0315 Solfrizzi Vincenzo 99 http://orcid.org/0000-0001-5722-3967 Parnetti Lucilla 100 http://orcid.org/0000-0001-7415-7607 Squassina Alessio 101 Tremolizzo Lucio 102 Borroni Barbara 92 103 http://orcid.org/0000-0003-2589-6440 Wagner Michael 18 104 http://orcid.org/0000-0001-9338-9040 Nacmias Benedetta 105 106 Spallazzi Marco 107 Seripa Davide 108 Rainero Innocenzo 109 Daniele Antonio 110 111 http://orcid.org/0000-0003-3566-5494 Piras Fabrizio 112 Masullo Carlo 113 http://orcid.org/0000-0001-6680-2725 Rossi Giacomina 114 Jessen Frank 18 115 116 http://orcid.org/0000-0002-7542-1139 Kehoe Patrick 117 http://orcid.org/0000-0002-2072-8010 Magda Tsolaki 38 118 Sánchez-Juan Pascual 42 119 http://orcid.org/0000-0002-0283-2332 Sleegers Kristel 14 15 http://orcid.org/0000-0001-5466-8370 Ingelsson Martin 120 121 122 Hiltunen Mikko 64 http://orcid.org/0000-0002-3885-1199 Sims Rebecca 2 http://orcid.org/0000-0001-8766-6224 van der Flier Wiesje 8 http://orcid.org/0000-0002-4461-3568 Andreassen Ole A.,AUT,"Boada Mercè, García-González Pablo, Raquel 55, Piñol-Ripoll Gerard, García-Alberca Jose María, Rodriguez-Rodriguez, Soininen Hilkka, http://orcid.org/0000-0002-6083-2402 Heikkinen Sami 64 de Mendonça, Shima 66, Traykov Latchezar, Hort Jakub, Vyhnalek Martin, Sandau Nicolai, Pijnenburg Yolande A. L. 8 http://orcid.org/0000-0002-7688-3087, van Swieten, Scheltens Philip 8, Giedraitis Vilmantas, Amouyel Philippe, Nicolas Gael, Debette Stéphanie, Grünblatt Edna, Ghidoni Roberta, Galimberti Daniela, Arosio Beatrice, Parnetti, Squassina Alessio 101, Tremolizzo Lucio, Nacmias Benedetta, Spallazzi Marco, Seripa Davide, Rainero, Fabrizio, Jessen Frank, Kehoe Patrick 117, Kristel, Hiltunen Mikko, Flier Wiesje, Andreassen Ole A.","ORG, PERSON, PERSON, ORG, ORG, ORG, ORG, PERSON, PERSON, ORG, ORG, PERSON, PERSON, PERSON, PERSON, ORG, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, ORG, ORG, PERSON, PERSON, ORG, ORG, ORG, ORG, PERSON, PERSON, PERSON, ORG, PERSON, PERSON, PERSON","187, 242, 311, 430, 493, 565, 633, 652, 742, 751, 809, 823, 845, 926, 1010, 1100, 1193, 1310, 1443, 1629, 1690, 1772, 1828, 1890, 2068, 2126, 2148, 2288, 2314, 2334, 2352, 2441, 2529, 2590, 2740, 2820, 2935, 2987","198, 263, 320, 449, 518, 584, 648, 718, 750, 768, 819, 838, 859, 989, 1021, 1118, 1213, 1326, 1455, 1646, 1704, 1787, 1846, 1905, 2076, 2147, 2164, 2305, 2329, 2347, 2359, 2449, 2541, 2607, 2747, 2834, 2947, 3004",,,,
48,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,123 124 http://orcid.org/0000-0003-2633-2495 Ruiz Agustín 42 125 126 http://orcid.org/0000-0003-4991-763X Ramirez Alfredo 12 18 104 127 128 EADB http://orcid.org/0000-0003-4068-8578 Molina-Porcel Laura 28 29 http://orcid.org/0000-0003-1656-302X Mir Pablo 42 56 http://orcid.org/0000-0003-4932-7429 Real Luis M. 57 58 Piñol-Ripoll Gerard 59 60 http://orcid.org/0000-0001-7742-677X Rodriguez-Rodriguez Eloy 42 62 http://orcid.org/0000-0001-8505-7265 Grünblatt Edna 86 87 88 http://orcid.org/0000-0002-7691-1957 Ghidoni Roberta 92 Daniele Antonio 110 111 Jansen Iris 8 9 van der Lee Sven 8 9 Andrade Victor 133 134 Fernández Victoria 42 125 Dalmasso Maria-Carolina 135 Kleineidam Luca 135 136 137 Ahmad Shahzad 132 138 Aarsland Dag 139 140 Cano Amanda 42 125 Abdelnour Carla 42 125 Alarcón-Martín Emilio 125 141 Alcolea Daniel 41 42 Alegret Montserrat 42 125 Alvarez Ignacio 50 142 Armstrong Nicola J.,AUT,"Ramirez Alfredo, Molina-Porcel, Piñol-Ripoll Gerard, Grünblatt Edna, Ghidoni Roberta, Daniele, Jansen Iris, Lee Sven, Dalmasso Maria-Carolina, Kleineidam Luca, Ahmad Shahzad, Abdelnour Carla, Alarcón-Martín Emilio, Alvarez Ignacio","PERSON, ORG, ORG, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, ORG, PERSON","106, 182, 317, 448, 509, 528, 552, 576, 638, 666, 694, 756, 779, 856","121, 195, 336, 462, 524, 535, 563, 584, 661, 681, 707, 771, 800, 871",,,,
49,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,142 Anthoula Tsolaki 38 144 Appollonio Ildebrando 145 146 Arcaro Marina 147 Archetti Silvana 148 Pastor Alfonso Arias 59 60 Athanasiu Lavinia 149 Bailly Henri 83 Banaj Nerisa 150 Baquero Miquel 151 Pastor Ana Belén 152 Berr Claudine 153 Besse Céline 78 Bessi Valentina 105 154 Binetti Giuliano 155 Fostinelli Silvia 155 Bellini Sonia 92 Bizarro Alessandra 156 Blesa Rafael 41 42 Boada Mercè 42 125 Boschi Silvia 109 Bossù Paola 157 Bråthen Geir 158 159 Bresner Catherine 160 Brodaty Henry 143 161 Brookes Keeley J.,AUT,"Anthoula Tsolaki, Appollonio Ildebrando, Alfonso Arias, Baquero Miquel 151 Pastor, Fostinelli Silvia, Boada Mercè, Bossù Paola, Bråthen Geir, Brodaty Henry","PERSON, PERSON, PERSON, PERSON, PERSON, ORG, PERSON, PERSON, PERSON","4, 28, 104, 179, 298, 379, 416, 432, 475","20, 49, 117, 204, 315, 390, 427, 444, 488",,,,
50,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,162 Buiza-Rueda Dolores 42 56 Bûrger Katharina 163 164 Burholt Vanessa 165 166 Calero Miguel 42 152 167 Chene Geneviève 80 81 Carracedo Ángel 168 169 Cecchetti Roberta 97 Cervera-Carles Laura 41 42 Charbonnier Camille 170 Chillotti Caterina 171 Ciccone Simona 172 Claassen Jurgen A. H. R. 173 Clarimon Jordi 41 42 Clark Christopher 174 Conti Elisa 145 Corma-Gómez Anaïs 57 Giuffrè Guido Maria 110 Custodero Carlo 175 Daian Delphine 78 Dardiotis Efthimios 176 Dartigues Jean-François 84 de Deyn Peter Paul 177 del Ser Teodoro 178 Denning Nicola 1 Diehl-Schmid Janine 179 Diez-Fairen Mónica 50 142 Rossi Paolo Dionigi 172 Djurovic Srdjan 149 Duron Emmanuelle 83 Engelborghs Sebastiaan 180 181 182 183 Blázquez Josep 42 125 Ewers Michael 163 164 Fabrizio Tagliavini 184 Nielsen Sune Fallgaard 185 Farotti Lucia 100 Fenoglio Chiara 186 Fernández-Fuertes Marta 57 Ferreira Catarina B.,AUT,"Buiza-Rueda, Bûrger Katharina, Burholt Vanessa, Miguel 42, Ángel, Roberta, Cervera-Carles Laura, Camille 170 Chillotti, Jurgen A. H. R., Clarimon Jordi, Clark Christopher 174, Maria 110 Custodero Carlo, Dartigues Jean-François 84 de Deyn, Peter Paul 177, Paolo Dionigi, Djurovic, Duron Emmanuelle, Blázquez, Fabrizio, Nielsen Sune, Fenoglio Chiara, Ferreira Catarina B.","ORG, PERSON, PERSON, PERSON, PERSON, PERSON, ORG, PERSON, PERSON, PERSON, PERSON, PERSON, ORG, PERSON, PERSON, ORG, ORG, ORG, ORG, ORG, PERSON, PERSON","4, 30, 55, 86, 136, 160, 171, 210, 273, 293, 314, 387, 459, 494, 602, 620, 640, 699, 743, 767, 812, 859","15, 46, 70, 95, 141, 167, 191, 231, 288, 307, 335, 412, 493, 508, 615, 628, 656, 707, 751, 779, 827, 879",,,,
